id,tipoIncidencia,fechaReporte,estado,UsuarioID,MantenimientoID,nivelEscalamiento,tiempoResolucion
1,desgaste,2024-06-04,cerrada,"['877-15-7376', '467-34-2729']",['mnt-13905'],alto,104
2,desgaste,2023-10-18,abierta,"['592-42-6016', '339-07-9203']",['mnt-00687'],medio,-1
3,rotura,2024-07-27,cerrada,"['012-65-0978', '976-02-8152']",['mnt-00376'],alto,-1
4,vandalismo,2023-12-25,cerrada,"['588-11-9551', '532-78-5662', '166-45-6290']",['mnt-02131'],bajo,235
5,mal funcionamiento,2024-01-14,cerrada,"['004-60-5880', '563-73-1437']","['mnt-05277', 'mnt-08362']",medio,111
6,mal funcionamiento,2024-06-16,cerrada,['243-58-3707'],['mnt-00817'],bajo,-1
7,mal funcionamiento,2023-11-29,abierta,"['568-97-1438', '060-60-3082']",['mnt-13919'],medio,-1
8,desgaste,2024-07-11,abierta,"['796-05-5365', '885-57-6046']",['mnt-12758'],alto,-1
9,mal funcionamiento,2024-03-30,cerrada,"['845-09-0809', '326-82-2881']",['mnt-01303'],bajo,252
10,rotura,2024-08-14,cerrada,['593-69-8841'],['mnt-05048'],bajo,3
11,vandalismo,2024-10-10,cerrada,"['090-00-7405', '071-19-1066', '229-65-4862']","['mnt-07427', 'mnt-14453']",bajo,-1
12,desgaste,2023-12-17,cerrada,['176-13-0825'],['mnt-10750'],bajo,-1
13,mal funcionamiento,2024-07-20,cerrada,"['766-49-4521', '178-54-7373', '885-67-2471']","['mnt-03278', 'mnt-11201']",bajo,60
14,desgaste,2024-09-27,cerrada,['597-15-0862'],['mnt-14451'],alto,-1
15,desgaste,2023-10-25,cerrada,"['362-42-8620', '718-53-6721']","['mnt-04397', 'mnt-04960']",bajo,301
16,desgaste,2024-01-20,abierta,['199-84-4323'],['mnt-00498'],bajo,-1
17,vandalismo,2024-07-09,abierta,"['095-45-4865', '707-18-9915', '799-14-3002']",['mnt-10246'],alto,-1
18,mal funcionamiento,2024-02-06,cerrada,['813-75-9847'],['mnt-11472'],medio,82
19,desgaste,2024-02-11,cerrada,"['474-19-4063', '458-07-3973', '990-13-7252']","['mnt-01733', 'mnt-11172']",medio,18
20,vandalismo,2024-05-01,cerrada,['629-15-3222'],['mnt-10095'],alto,161
21,mal funcionamiento,2023-10-21,abierta,"['282-52-9975', '384-61-9704']",['mnt-09042'],alto,-1
22,mal funcionamiento,2024-06-10,cerrada,['096-22-0670'],['mnt-11353'],medio,118
23,rotura,2024-01-27,abierta,"['604-91-2343', '406-56-3619', '307-27-1424']",['mnt-09042'],alto,-1
24,mal funcionamiento,2024-09-28,abierta,['948-96-6590'],"['mnt-03568', 'mnt-09550']",bajo,-1
25,mal funcionamiento,2023-12-24,abierta,['566-61-3591'],['mnt-03597'],bajo,-1
26,desgaste,2024-08-05,cerrada,"['500-90-6672', '245-63-5707', '317-56-5131']",['mnt-00821'],bajo,-1
27,desgaste,2024-10-01,cerrada,"['112-42-8189', '370-99-8984', '367-10-4674']",['mnt-06922'],bajo,-1
28,mal funcionamiento,2023-10-28,abierta,"['249-99-1099', '404-10-1370']",['mnt-06286'],medio,-1
29,vandalismo,2024-08-19,abierta,"['508-98-5154', '378-11-4367', '378-11-4367']",['mnt-13953'],alto,-1
30,vandalismo,2024-04-18,cerrada,['972-87-4607'],['mnt-14904'],bajo,-1
31,desgaste,2024-09-30,cerrada,"['223-42-0669', '449-74-0186', '398-59-2924']",['mnt-06337'],bajo,-1
32,desgaste,2024-04-30,abierta,"['801-97-2555', '093-35-3953', '708-79-2896']","['mnt-09082', 'mnt-11531']",alto,-1
33,mal funcionamiento,2024-02-03,abierta,"['593-44-5401', '398-08-9022']",['mnt-04581'],alto,-1
34,mal funcionamiento,2024-03-19,cerrada,"['911-89-5856', '280-56-6309']",['mnt-14143'],bajo,73
35,vandalismo,2024-06-13,cerrada,['395-06-9681'],"['mnt-00559', 'mnt-05565']",medio,64
36,rotura,2024-06-05,abierta,['797-83-0198'],['mnt-13540'],medio,-1
37,desgaste,2024-03-27,cerrada,['268-12-9651'],"['mnt-02841', 'mnt-08770']",medio,187
38,vandalismo,2024-08-28,cerrada,"['506-12-3016', '724-54-6205']",['mnt-09589'],bajo,-1
39,rotura,2024-05-30,abierta,"['148-81-7465', '892-51-8894', '277-22-2474']","['mnt-04881', 'mnt-10453']",medio,-1
40,vandalismo,2024-03-02,abierta,['277-13-4981'],['mnt-04290'],alto,-1
41,mal funcionamiento,2024-02-07,cerrada,['896-45-6813'],['mnt-08378'],bajo,202
42,rotura,2024-04-28,cerrada,"['733-04-2086', '735-30-7385', '003-12-7817']",['mnt-12228'],alto,90
43,mal funcionamiento,2024-08-26,cerrada,"['176-49-6345', '271-42-0156', '199-53-0558']",['mnt-13503'],alto,-1
44,vandalismo,2024-06-18,cerrada,['351-49-6681'],['mnt-07333'],alto,-1
45,desgaste,2024-09-19,abierta,['461-89-3669'],['mnt-14756'],alto,-1
46,vandalismo,2024-02-11,cerrada,"['888-99-5847', '193-18-4017', '053-99-8190']",['mnt-00842'],alto,202
47,rotura,2024-04-14,cerrada,"['632-00-3897', '459-73-0908', '668-32-8793']",['mnt-01462'],medio,61
48,rotura,2024-10-10,abierta,"['596-19-1998', '286-98-4422', '041-15-2415']","['mnt-02297', 'mnt-02494']",medio,-1
49,rotura,2024-10-08,cerrada,"['689-32-4439', '873-27-3314', '913-85-6147']",['mnt-02179'],medio,-1
50,rotura,2024-01-27,abierta,['863-33-3766'],['mnt-07750'],bajo,-1
51,vandalismo,2024-06-14,abierta,['869-34-7706'],['mnt-01438'],alto,-1
52,mal funcionamiento,2024-09-14,cerrada,"['142-30-5668', '955-90-1850']",['mnt-08133'],bajo,-1
53,rotura,2024-02-07,abierta,['738-70-3572'],['mnt-08945'],alto,-1
54,desgaste,2024-09-15,cerrada,"['014-33-4371', '508-48-3418', '387-76-2628']",['mnt-14807'],bajo,-1
55,vandalismo,2024-10-06,abierta,"['541-92-0256', '856-89-1964', '016-30-7094']",['mnt-11370'],medio,-1
56,mal funcionamiento,2023-12-13,cerrada,"['117-80-0652', '060-21-9395', '089-59-2419']","['mnt-12152', 'mnt-12720']",medio,253
57,vandalismo,2024-08-29,abierta,['172-97-8724'],['mnt-13468'],bajo,-1
58,vandalismo,2024-09-03,cerrada,"['871-28-1730', '541-59-4325', '471-54-1054']",['mnt-00587'],bajo,-1
59,vandalismo,2024-08-26,cerrada,"['690-16-4774', '418-44-8103']",['mnt-01539'],alto,-1
60,rotura,2024-08-03,cerrada,"['250-40-0290', '782-70-6692', '401-29-1803']","['mnt-01989', 'mnt-08098']",medio,-1
61,desgaste,2024-03-22,abierta,"['100-01-0264', '410-33-9822']",['mnt-09734'],medio,-1
62,mal funcionamiento,2024-08-23,cerrada,['322-98-2998'],['mnt-02632'],alto,-1
63,desgaste,2024-03-07,abierta,"['479-94-4802', '032-03-7429']",['mnt-03607'],medio,-1
64,rotura,2024-03-08,abierta,['901-73-6249'],['mnt-07756'],bajo,-1
65,desgaste,2024-01-26,cerrada,['241-48-9310'],['mnt-09794'],medio,116
66,mal funcionamiento,2024-10-11,cerrada,"['808-83-2834', '555-94-9326', '711-02-3044']",['mnt-08081'],medio,-1
67,rotura,2024-01-16,cerrada,"['090-73-5016', '018-48-4998', '236-66-5410']","['mnt-07601', 'mnt-11223']",bajo,220
68,rotura,2024-09-29,cerrada,"['889-06-0212', '223-67-7660']","['mnt-02315', 'mnt-12518']",medio,-1
69,desgaste,2024-09-28,cerrada,"['597-83-3782', '438-90-8611', '310-67-5019']",['mnt-03205'],medio,-1
70,vandalismo,2024-02-03,cerrada,"['288-08-3515', '901-67-6635']",['mnt-11544'],bajo,174
71,vandalismo,2024-03-16,cerrada,"['778-65-5960', '282-19-2052']",['mnt-04456'],medio,31
72,vandalismo,2024-10-05,cerrada,['460-57-1099'],['mnt-12063'],alto,-1
73,desgaste,2024-06-07,abierta,"['305-88-3625', '753-54-9380', '738-87-3253']",['mnt-03462'],alto,-1
74,desgaste,2024-02-14,cerrada,"['154-86-3026', '138-40-0694', '032-33-8307']",['mnt-01352'],medio,52
75,desgaste,2023-11-16,cerrada,"['733-85-7189', '603-85-7965']",['mnt-10547'],bajo,114
76,mal funcionamiento,2024-07-05,cerrada,"['260-90-2212', '841-37-3199', '628-45-2561']",['mnt-06303'],medio,-1
77,desgaste,2024-03-20,cerrada,"['311-23-9012', '542-71-1216']",['mnt-13487'],alto,-1
78,rotura,2024-09-30,abierta,['085-97-4774'],['mnt-02057'],medio,-1
79,mal funcionamiento,2024-05-07,cerrada,"['127-70-7755', '837-71-6783']",['mnt-14167'],bajo,-1
80,mal funcionamiento,2023-11-25,abierta,['894-46-2114'],"['mnt-04031', 'mnt-12053']",bajo,-1
81,rotura,2024-10-06,cerrada,"['391-88-3157', '380-75-1092']","['mnt-02899', 'mnt-08710']",medio,-1
82,desgaste,2024-04-11,cerrada,"['838-96-5164', '818-45-3964']",['mnt-01741'],medio,124
83,vandalismo,2024-04-27,cerrada,"['575-21-6618', '260-56-5535']","['mnt-02507', 'mnt-05962']",alto,-1
84,desgaste,2024-01-03,abierta,"['824-77-2616', '158-28-9848', '514-82-8382']",['mnt-11189'],medio,-1
85,vandalismo,2023-12-16,cerrada,['099-35-1380'],['mnt-06988'],medio,75
86,vandalismo,2024-09-17,abierta,"['217-98-1971', '937-20-7275']",['mnt-11802'],bajo,-1
87,rotura,2024-03-23,cerrada,"['788-21-2876', '946-79-0736']","['mnt-03508', 'mnt-08892', 'mnt-12574']",bajo,72
88,mal funcionamiento,2024-04-02,abierta,"['675-54-6552', '409-86-2303']",['mnt-01330'],alto,-1
89,mal funcionamiento,2024-05-18,cerrada,"['817-34-2428', '554-49-0304', '218-00-4040']",['mnt-04249'],alto,-1
90,desgaste,2024-01-14,abierta,"['174-43-1815', '019-00-6767']",['mnt-10012'],medio,-1
91,mal funcionamiento,2024-02-13,cerrada,"['148-66-5370', '430-05-1686']",['mnt-12883'],bajo,241
92,desgaste,2024-01-09,cerrada,"['865-70-1340', '760-66-5305', '798-74-5409']",['mnt-01855'],alto,59
93,desgaste,2023-11-27,cerrada,"['017-43-7295', '357-05-1407']",['mnt-01845'],bajo,220
94,vandalismo,2024-05-09,cerrada,['436-60-7701'],['mnt-01454'],bajo,-1
95,mal funcionamiento,2023-11-20,abierta,['982-27-6070'],"['mnt-02112', 'mnt-11757']",bajo,-1
96,mal funcionamiento,2023-10-15,cerrada,"['903-89-7000', '729-25-9421', '167-74-2219']","['mnt-01003', 'mnt-09563']",medio,210
97,desgaste,2024-05-29,abierta,"['741-25-9934', '927-72-9530']",['mnt-09212'],bajo,-1
98,desgaste,2024-01-07,cerrada,"['433-38-2732', '243-26-3469']",['mnt-02609'],alto,22
99,desgaste,2023-11-14,abierta,"['775-68-8525', '081-60-4000', '398-68-3882']","['mnt-01240', 'mnt-04435', 'mnt-12761']",medio,-1
100,vandalismo,2024-05-19,cerrada,['770-24-2945'],['mnt-06864'],alto,-1
101,mal funcionamiento,2024-10-03,cerrada,"['336-56-1396', '806-70-9754', '180-58-7713']",['mnt-01560'],alto,-1
102,desgaste,2024-08-22,abierta,"['110-54-2966', '743-88-8084']",['mnt-09012'],medio,-1
103,desgaste,2024-07-11,cerrada,"['220-90-9225', '628-73-9187']","['mnt-01269', 'mnt-10379']",medio,44
104,mal funcionamiento,2023-11-02,cerrada,['546-06-9283'],['mnt-05666'],medio,333
105,rotura,2023-12-06,cerrada,"['753-87-8349', '831-23-8385']","['mnt-07976', 'mnt-14313']",alto,254
106,vandalismo,2023-12-23,cerrada,['358-75-9776'],"['mnt-04356', 'mnt-11765']",bajo,130
107,rotura,2023-10-21,cerrada,['813-16-4973'],['mnt-11043'],bajo,249
108,desgaste,2024-05-19,abierta,['888-02-5417'],['mnt-12162'],medio,-1
109,rotura,2023-12-27,cerrada,"['402-42-7281', '406-56-3619', '660-91-9231']",['mnt-05315'],bajo,154
110,mal funcionamiento,2023-11-09,abierta,"['915-79-7888', '804-50-1687']","['mnt-07092', 'mnt-11539']",alto,-1
111,vandalismo,2024-08-24,cerrada,['670-05-9074'],"['mnt-11234', 'mnt-12677']",alto,-1
112,mal funcionamiento,2023-10-23,cerrada,"['847-44-2878', '440-29-6963', '107-46-8349']","['mnt-01219', 'mnt-09711', 'mnt-14285']",alto,253
113,vandalismo,2024-11-06,cerrada,"['422-00-3504', '151-14-3672']","['mnt-05530', 'mnt-11294']",alto,-1
114,mal funcionamiento,2024-04-20,cerrada,['944-32-3034'],['mnt-04534'],medio,121
115,mal funcionamiento,2024-06-06,abierta,['692-64-7625'],"['mnt-11825', 'mnt-13298']",bajo,-1
116,rotura,2024-01-04,cerrada,"['199-55-3678', '999-56-4531', '559-08-6664']",['mnt-13341'],bajo,198
117,vandalismo,2024-01-10,cerrada,"['239-90-7990', '925-93-2493', '038-88-0793']",['mnt-01005'],medio,136
118,rotura,2024-05-09,abierta,"['488-36-2592', '755-98-6242']","['mnt-01394', 'mnt-08723']",bajo,-1
119,vandalismo,2024-06-26,abierta,"['314-20-5792', '008-09-7815']",['mnt-14814'],alto,-1
120,desgaste,2024-03-07,cerrada,"['721-47-7070', '761-76-9648']",['mnt-13667'],alto,85
121,vandalismo,2024-08-22,cerrada,"['531-32-3397', '378-21-9839', '066-94-8131']","['mnt-02159', 'mnt-04757']",medio,-1
122,mal funcionamiento,2024-07-01,cerrada,"['021-72-0249', '106-83-9545', '932-16-5096']",['mnt-05358'],bajo,-1
123,mal funcionamiento,2023-11-03,cerrada,['380-33-3475'],"['mnt-03608', 'mnt-06350']",bajo,288
124,mal funcionamiento,2024-02-29,abierta,['229-67-5850'],['mnt-12976'],medio,-1
125,rotura,2024-10-08,abierta,"['509-39-6212', '706-89-6262']",['mnt-02417'],medio,-1
126,vandalismo,2024-06-26,abierta,['999-31-9294'],['mnt-10980'],medio,-1
127,rotura,2024-01-03,abierta,['762-87-6031'],"['mnt-00893', 'mnt-12391', 'mnt-13550']",medio,-1
128,rotura,2024-02-21,abierta,['291-81-9863'],['mnt-00089'],bajo,-1
129,rotura,2024-07-06,abierta,"['060-83-4978', '088-72-6336', '805-52-9768']","['mnt-00319', 'mnt-05790']",alto,-1
130,mal funcionamiento,2023-12-03,abierta,"['103-58-3873', '788-66-1589', '559-53-7633']","['mnt-00234', 'mnt-04043']",medio,-1
131,vandalismo,2024-06-30,cerrada,"['426-59-0592', '132-74-6029', '008-44-5781']","['mnt-10776', 'mnt-12743']",bajo,-1
132,rotura,2024-03-09,cerrada,['342-05-0813'],['mnt-06748'],alto,65
133,vandalismo,2024-04-14,abierta,['744-40-7622'],['mnt-09083'],medio,-1
134,vandalismo,2024-04-12,abierta,['768-48-1875'],['mnt-08942'],medio,-1
135,vandalismo,2024-06-24,cerrada,['907-91-3349'],['mnt-12962'],medio,32
136,mal funcionamiento,2024-04-17,abierta,"['857-73-1221', '854-06-8449', '114-82-0887']",['mnt-13527'],medio,-1
137,desgaste,2024-08-24,cerrada,"['498-20-3589', '750-10-2047', '226-27-5299']","['mnt-09104', 'mnt-12773']",medio,-1
138,desgaste,2024-01-19,cerrada,"['516-01-8072', '207-84-0141', '178-68-4628']","['mnt-04286', 'mnt-10327']",bajo,250
139,mal funcionamiento,2024-08-14,cerrada,"['713-15-5817', '445-92-8881', '982-34-7661']",['mnt-11886'],bajo,-1
140,rotura,2023-11-12,abierta,"['590-05-0409', '141-94-3256', '897-31-3331']",['mnt-03672'],bajo,-1
141,rotura,2023-12-01,cerrada,"['433-06-8898', '999-56-0502', '235-22-0229']",['mnt-07470'],medio,56
142,rotura,2024-08-27,abierta,"['800-63-9797', '786-16-3738', '179-73-2227']",['mnt-03999'],bajo,-1
143,vandalismo,2024-04-14,abierta,"['993-26-8588', '021-72-0249']",['mnt-10556'],alto,-1
144,vandalismo,2024-02-14,cerrada,"['197-54-6424', '807-82-9494']",['mnt-14212'],alto,-1
145,mal funcionamiento,2023-12-14,cerrada,['374-61-4080'],['mnt-12665'],bajo,135
146,vandalismo,2024-02-04,abierta,"['852-76-3607', '561-26-7740', '374-49-6742']",['mnt-03462'],medio,-1
147,rotura,2024-05-24,cerrada,"['743-88-8084', '925-12-3302', '742-25-8929']","['mnt-02218', 'mnt-13692']",medio,109
148,rotura,2024-03-07,abierta,"['210-74-6960', '304-23-9582', '354-41-2235']","['mnt-05072', 'mnt-08621']",bajo,-1
149,desgaste,2024-07-21,cerrada,"['309-48-5557', '191-66-6006']","['mnt-03627', 'mnt-10050']",alto,-1
150,desgaste,2024-02-07,cerrada,"['442-73-6240', '428-15-6327', '703-36-0172']","['mnt-01348', 'mnt-04293', 'mnt-11069']",medio,177
151,mal funcionamiento,2024-02-27,cerrada,['933-52-0348'],['mnt-13944'],alto,-1
152,vandalismo,2024-04-24,cerrada,['799-14-3002'],"['mnt-02198', 'mnt-11261']",medio,8
153,rotura,2024-01-03,abierta,['395-25-3102'],['mnt-13983'],bajo,-1
154,rotura,2024-06-05,cerrada,['865-72-4713'],['mnt-11768'],bajo,77
155,vandalismo,2023-12-27,abierta,"['610-07-8246', '739-38-2948']",['mnt-00714'],bajo,-1
156,vandalismo,2023-12-07,cerrada,"['406-08-6881', '522-29-8564', '419-82-9150']","['mnt-06323', 'mnt-14304']",bajo,16
157,rotura,2023-11-27,abierta,"['265-48-2957', '872-67-3391']","['mnt-00060', 'mnt-01615']",bajo,-1
158,rotura,2024-02-19,cerrada,['032-32-5015'],"['mnt-02348', 'mnt-14207']",alto,190
159,rotura,2023-12-12,abierta,"['205-00-9933', '138-25-4182']",['mnt-00017'],medio,-1
160,desgaste,2024-02-15,abierta,"['777-79-8430', '383-80-7670']",['mnt-14613'],alto,-1
161,vandalismo,2024-01-17,abierta,"['198-65-0810', '580-02-1574', '470-22-3012']",['mnt-11633'],alto,-1
162,desgaste,2024-07-03,cerrada,"['067-58-2956', '171-54-0923', '945-91-5104']","['mnt-01912', 'mnt-12659', 'mnt-13067']",alto,44
163,rotura,2024-07-30,abierta,"['872-99-7259', '665-47-8041']","['mnt-08033', 'mnt-14540']",alto,-1
164,rotura,2023-11-19,abierta,"['068-68-2427', '696-63-7680']","['mnt-03659', 'mnt-09379']",bajo,-1
165,rotura,2024-05-18,cerrada,"['549-28-7148', '715-12-8995', '548-46-9753']",['mnt-03203'],bajo,-1
166,mal funcionamiento,2024-10-04,abierta,"['760-99-8105', '714-47-8610', '135-40-0780']","['mnt-01821', 'mnt-08955', 'mnt-10302']",bajo,-1
167,rotura,2023-11-30,cerrada,['303-99-0679'],['mnt-09101'],medio,-1
168,vandalismo,2024-02-12,abierta,['094-28-9871'],['mnt-05716'],medio,-1
169,desgaste,2024-07-11,cerrada,"['391-82-5472', '913-45-8490', '003-70-2209']","['mnt-07839', 'mnt-10091']",bajo,28
170,desgaste,2023-11-19,abierta,"['213-99-9087', '179-49-4838']",['mnt-12457'],medio,-1
171,rotura,2023-11-06,abierta,"['562-33-7001', '311-30-4865']",['mnt-12488'],alto,-1
172,vandalismo,2024-09-20,cerrada,"['186-54-3558', '128-84-7974']",['mnt-06870'],alto,-1
173,desgaste,2024-07-09,abierta,"['002-53-4615', '244-04-0014']",['mnt-13396'],medio,-1
174,vandalismo,2023-12-23,abierta,"['213-35-6192', '362-20-2362', '698-52-5306']","['mnt-05567', 'mnt-06893']",alto,-1
175,rotura,2024-09-15,cerrada,['463-07-6119'],['mnt-13508'],medio,-1
176,desgaste,2024-03-07,abierta,"['465-66-7179', '499-25-5214', '802-02-2509']","['mnt-05197', 'mnt-13163']",bajo,-1
177,mal funcionamiento,2024-08-01,cerrada,"['516-93-9492', '465-05-9417']",['mnt-09393'],medio,-1
178,mal funcionamiento,2024-09-13,abierta,['280-16-8155'],['mnt-11491'],alto,-1
179,rotura,2024-03-07,cerrada,"['397-44-1337', '364-82-2347', '171-50-3237']",['mnt-13741'],bajo,-1
180,rotura,2024-07-23,cerrada,"['002-07-7437', '408-76-7776']",['mnt-12723'],bajo,-1
181,rotura,2024-08-04,abierta,"['832-34-4746', '759-45-6594', '236-84-5106']",['mnt-06398'],medio,-1
182,vandalismo,2024-09-25,cerrada,"['917-42-2331', '465-09-8156']",['mnt-02666'],alto,-1
183,desgaste,2024-02-19,cerrada,['054-11-4063'],['mnt-07836'],medio,236
184,mal funcionamiento,2024-05-11,cerrada,"['862-77-3192', '537-17-5166']",['mnt-06102'],bajo,-1
185,mal funcionamiento,2023-11-15,cerrada,"['854-62-4392', '426-18-3896']",['mnt-07585'],bajo,171
186,rotura,2023-12-30,abierta,"['757-76-2598', '039-22-1924']",['mnt-11854'],bajo,-1
187,vandalismo,2024-08-25,cerrada,['057-70-0978'],['mnt-07064'],bajo,-1
188,desgaste,2024-05-13,cerrada,['416-92-4256'],"['mnt-05054', 'mnt-08978']",bajo,17
189,vandalismo,2023-12-24,abierta,"['612-98-3499', '360-52-5410']",['mnt-10821'],bajo,-1
190,mal funcionamiento,2023-12-29,cerrada,"['990-34-7933', '786-49-5347', '901-30-7322']","['mnt-07252', 'mnt-14114']",medio,247
191,rotura,2024-10-09,cerrada,['758-71-7752'],"['mnt-02506', 'mnt-08275']",medio,-1
192,vandalismo,2024-01-10,abierta,"['342-07-6171', '804-26-7623', '580-40-7687']","['mnt-05460', 'mnt-07271']",bajo,-1
193,desgaste,2024-05-27,abierta,['664-40-9102'],['mnt-12763'],bajo,-1
194,desgaste,2024-06-29,abierta,"['061-19-0691', '972-81-3786', '664-33-3200']",['mnt-04178'],alto,-1
195,mal funcionamiento,2023-10-22,abierta,"['495-29-8363', '174-15-0363', '966-69-8630']","['mnt-11887', 'mnt-12689']",bajo,-1
196,mal funcionamiento,2023-10-30,abierta,['909-82-3394'],['mnt-13447'],alto,-1
197,rotura,2024-07-02,cerrada,"['532-05-5805', '163-11-1730']",['mnt-02718'],alto,55
198,desgaste,2024-03-11,cerrada,"['007-04-5019', '152-23-7523']","['mnt-05845', 'mnt-13951']",bajo,30
199,desgaste,2024-03-21,cerrada,"['063-58-5461', '217-91-8807']","['mnt-06959', 'mnt-11135']",bajo,109
200,mal funcionamiento,2024-01-02,abierta,"['673-75-8581', '129-74-7536']","['mnt-00997', 'mnt-03861']",alto,-1
201,desgaste,2023-10-29,abierta,['479-87-4882'],"['mnt-08681', 'mnt-12944']",medio,-1
202,desgaste,2024-04-16,abierta,"['690-16-4774', '252-10-7073']","['mnt-06764', 'mnt-09871']",alto,-1
203,mal funcionamiento,2024-06-18,cerrada,"['367-06-8004', '277-94-4280']",['mnt-10765'],medio,-1
204,desgaste,2024-09-06,abierta,"['506-71-8929', '250-51-8547', '223-08-2682']",['mnt-07597'],medio,-1
205,vandalismo,2024-03-17,cerrada,['734-24-8767'],['mnt-08255'],medio,160
206,mal funcionamiento,2024-02-23,cerrada,['260-85-2212'],['mnt-03972'],alto,161
207,vandalismo,2024-06-19,cerrada,['803-81-3426'],"['mnt-01923', 'mnt-10256']",bajo,79
208,mal funcionamiento,2024-04-02,cerrada,"['440-02-5745', '273-62-7268']",['mnt-07834'],bajo,-1
209,rotura,2024-10-10,cerrada,"['092-70-0241', '365-96-5751']","['mnt-02095', 'mnt-06413']",alto,-1
210,desgaste,2024-01-27,cerrada,"['328-61-4499', '890-01-1532', '673-84-2527']",['mnt-11741'],bajo,-1
211,mal funcionamiento,2024-01-25,abierta,"['968-91-5056', '716-83-1508', '599-74-8656']",['mnt-05711'],alto,-1
212,mal funcionamiento,2024-08-18,abierta,['227-47-0723'],['mnt-02469'],bajo,-1
213,rotura,2023-10-18,abierta,"['883-80-3294', '981-24-9643', '583-45-2974']","['mnt-01989', 'mnt-08098']",alto,-1
214,rotura,2024-10-03,abierta,"['474-72-2630', '771-65-8952']",['mnt-10744'],bajo,-1
215,mal funcionamiento,2023-12-15,abierta,"['459-61-4620', '938-68-2871', '886-72-5197']",['mnt-03502'],medio,-1
216,vandalismo,2024-09-20,cerrada,"['179-81-4070', '357-52-5162', '546-47-9408']","['mnt-06097', 'mnt-10096']",medio,-1
217,vandalismo,2024-03-30,cerrada,"['852-71-8158', '255-33-2089']",['mnt-12925'],bajo,48
218,mal funcionamiento,2023-10-17,abierta,"['642-31-1706', '964-31-2091', '697-74-4853']",['mnt-12989'],bajo,-1
219,rotura,2024-07-20,cerrada,"['466-42-2357', '414-12-7610']",['mnt-08837'],medio,50
220,desgaste,2023-11-10,abierta,['502-03-2311'],['mnt-00929'],alto,-1
221,vandalismo,2023-10-18,cerrada,['772-34-6496'],"['mnt-05865', 'mnt-08461']",alto,282
222,vandalismo,2024-05-01,abierta,"['304-20-0421', '208-20-6478']",['mnt-05497'],bajo,-1
223,rotura,2024-04-19,abierta,['643-11-2165'],['mnt-01883'],alto,-1
224,mal funcionamiento,2024-07-08,cerrada,"['272-38-0325', '291-56-2499']",['mnt-00345'],alto,81
225,vandalismo,2024-10-13,abierta,"['834-86-5253', '007-28-9700']","['mnt-03852', 'mnt-04401']",medio,-1
226,desgaste,2024-06-16,abierta,"['128-84-7974', '166-49-5361', '307-08-9395']",['mnt-10303'],bajo,-1
227,rotura,2023-12-14,cerrada,"['157-20-3561', '185-71-4779', '441-70-8832']","['mnt-02607', 'mnt-10069', 'mnt-14322']",bajo,193
228,vandalismo,2023-11-11,abierta,"['508-02-5955', '308-00-2673']",['mnt-14510'],bajo,-1
229,vandalismo,2024-08-10,cerrada,['032-05-0417'],['mnt-00615'],medio,-1
230,desgaste,2023-11-13,abierta,['560-36-8909'],['mnt-08706'],medio,-1
231,mal funcionamiento,2024-10-09,abierta,['357-57-5210'],['mnt-08787'],medio,-1
232,rotura,2024-05-23,cerrada,"['517-11-2885', '592-25-2140', '544-00-6244']",['mnt-04298'],alto,-1
233,desgaste,2024-04-05,cerrada,['164-70-9305'],['mnt-11228'],medio,-1
234,mal funcionamiento,2024-01-04,cerrada,['034-51-8628'],['mnt-10208'],bajo,33
235,vandalismo,2023-12-29,abierta,"['545-54-7873', '453-48-9491']",['mnt-05416'],alto,-1
236,vandalismo,2024-09-04,cerrada,"['327-17-8193', '766-89-8936']",['mnt-07747'],bajo,5
